user_id,gender,age
4855,F,1
4065,M,56
3331,M,25
5373,M,45
2032,M,25
5875,F,50
3984,M,35
4062,M,25
5117,M,25
5822,F,35
174,F,25
5188,M,25
595,M,45
2538,M,35
5031,M,25
4765,F,35
1819,M,50
3970,F,18
568,M,1
4007,M,25
2641,M,18
2646,M,18
3839,M,35
3263,F,25
281,M,18
2009,M,25
5836,M,25
1581,F,25
679,M,35
3634,F,35
2401,M,56
2184,F,25
5532,M,45
3638,F,18
4159,M,45
1770,M,25
3754,F,25
637,F,18
1452,M,18
5412,M,45
5345,F,18
3078,M,25
4772,M,25
3484,M,45
1064,F,45
2812,M,18
3120,M,18
4295,M,25
491,M,18
3283,F,25
5595,F,1
622,M,18
4428,M,25
1570,M,50
4561,F,35
3927,M,35
127,M,18
1950,M,25
1877,F,50
2285,M,50
656,M,25
462,F,35
4055,M,18
4477,M,18
2148,M,35
1582,M,25
272,F,50
3556,M,18
883,F,25
5295,M,18
3223,M,25
4070,F,45
3,M,18
5314,M,35
4225,F,1
1341,M,35
5909,M,18
1413,F,45
4463,F,45
3900,M,56
4426,F,25
811,M,25
3491,F,25
5118,M,18
2018,M,18
1308,F,1
4379,M,25
4351,F,45
2995,F,56
3680,M,56
1336,M,35
3758,F,18
1286,M,25
5003,M,25
3574,M,45
1703,F,25
1855,F,35
32,F,35
5901,F,1
5207,M,35
1516,F,18
5457,M,35
406,M,45
1088,M,25
3923,M,45
5138,F,35
3458,M,45
5861,M,25
215,M,45
5924,M,25
2990,M,35
5374,M,25
4202,M,18
3936,F,25
2601,M,25
4840,M,25
3083,M,25
3166,M,35
2107,F,1
1385,M,25
5229,M,35
5749,F,18
3937,M,35
1881,M,56
354,M,45
666,M,18
2158,F,45
3265,M,56
712,M,25
1263,M,35
5897,M,18
3252,M,25
3385,F,25
2042,M,25
2145,M,18
2971,M,18
4416,F,45
4147,M,18
1823,F,25
4544,F,35
4344,M,35
4940,M,25
1200,M,18
4424,M,25
2468,M,18
4705,F,35
1873,M,18
5310,M,50
2483,M,25
4257,M,35
2889,F,25
4075,M,18
624,M,1
5520,M,50
3054,M,35
1221,F,45
3209,M,35
4186,M,56
2627,F,45
2717,M,35
3156,M,45
136,F,18
1809,M,18
3519,F,56
5809,M,18
3228,M,18
